table_name,column_name,data_type,is_nullable,constraint_name,foreign_table_name,foreign_column_name
legal_stories,id,uuid,NO,legal_stories_pkey,legal_stories,id
legal_stories,user_id,uuid,YES,legal_stories_user_id_fkey,user_profiles,id
story_comments,id,uuid,NO,story_comments_pkey,story_comments,id
story_comments,story_id,uuid,YES,story_comments_story_id_fkey,legal_stories,id
story_comments,user_id,uuid,YES,story_comments_user_id_fkey,user_profiles,id
user_profiles,id,uuid,NO,user_profiles_pkey,user_profiles,id
null,null,text,YES,null,null,null
null,null,boolean,YES,null,null,null
null,null,boolean,YES,null,null,null
null,null,boolean,YES,null,null,null
null,null,integer,YES,null,null,null
null,null,integer,YES,null,null,null
null,null,integer,YES,null,null,null
null,null,ARRAY,YES,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,text,NO,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,text,NO,null,null,null
null,null,boolean,YES,null,null,null
null,null,boolean,YES,null,null,null
null,null,integer,YES,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,timestamp with time zone,YES,null,null,null
null,null,text,NO,null,null,null
null,null,text,YES,null,null,null
null,null,date,YES,null,null,null
null,null,text,YES,null,null,null
null,null,text,YES,null,null,null
null,null,text,NO,null,null,null
null,null,text,YES,null,null,null
null,null,text,NO,null,null,null